date,calories,protein,fat,carbs,sugar,fiber,salt
2025-10-26,1321,116.3,30,122.7,118.3,4.4,2.2
2025-10-27,1657,138.5,48.2,168.2,164.5,3.7,3.6
2025-10-28,2137,133.2,73.9,211.3,197.8,13.5,9.76
2025-10-29,1471,127.6,45.5,141.3,87.0,2.0,5.02
2025-10-30,1444,131.3,37.9,150.1,140.4,9.7,5.5
2025-10-31,1570,128.4,48.2,156.9,153.4,3.5,3.5
2025-11-01,1644,79.6,71.3,153.2,142.7,10.5,6.2
2025-11-02,1544,85.8,65.5,154.6,152.8,1.8,0
2025-11-03,3000,127.4,154.7,286.4,238.1,14.2,5.75
2025-11-04,1238,85.3,48.5,109.7,104.3,5.4,2.4
2025-11-05,1483,124.5,34.2,173.9,165.9,8.0,5.99
2025-11-06,2332,153.8,89.4,214.2,208.8,5.4,2.4
2025-11-07,1563,152.4,51.0,118.8,111.3,7.5,4.2
2025-11-08,1478,94.3,36.0,208.4,188.1,20.3,6.77
2025-11-09,1545,130.9,52.9,138.3,133.7,6.2,5.05
2025-11-10,1545,130.9,52.9,138.3,133.7,6.2,5.05
2025-11-11,1477,136.0,40.5,155.8,141.7,14.1,2.91
2025-11-12,1844,146.1,48.9,215.4,196.2,19.2,13.4
2025-11-13,1949,151.8,59.7,213.8,198.0,15.8,7.92
2025-11-14,1497,125.9,56.6,132.1,118.6,13.5,6.1
2025-11-15,2398,150.6,114.9,197.0,182.7,14.3,10.06
2026-04-20,2937,178.8,139.5,242.8,235.5,7.3,3.80
2026-04-21,2994,172.6,127.7,289.2,281.8,7.4,3.58
2026-04-22,1618,98.8,40.1,229.0,213.2,15.8,5.47
2026-05-11,2118,133.6,74.3,231.0,218.6,12.4,7.99
2026-05-12,2513,139.4,98.6,283.2,258.7,24.5,10.65
2026-05-14,2063,138.1,72.4,216.9,205.3,11.6,8.02
2026-05-15,2298,129.7,98.1,230.1,223.0,7.2,10.57
2026-05-16,2114,92.0,76.3,267.6,254.7,12.9,7.34
2026-05-17,2504,117.1,98.6,285.3,269.6,15.7,11.72
2026-05-18,1665,139.3,48.6,167.0,161.5,5.5,6.77
2026-05-23,2880,87.4,105.2,262.4,243.6,18.8,12.25
2026-05-24,2199,106.6,92.6,237.7,227.3,10.4,10.88
2026-05-26,1423,113.5,36.0,165.3,157.0,8.3,5.31
2026-05-27,1653,132.4,70.6,127.4,120.8,6.6,7.80
2026-05-28,1377,140.7,39.0,93.5,85.4,8.1,11.51
2026-05-29,2060,170.6,80.0,175.2,163.1,12.0,10.47
2026-05-30,1767,54.7,74.6,218.5,218.2,0.3,8.33
2026-05-31,2067,146.5,69.8,215.9,210.6,5.3,5.96
2026-06-01,1391,143.9,37.0,124.4,117.9,6.5,6.21
2026-06-02,3983,168.8,160.3,462.7,445.4,17.3,10.70
2026-06-03,1603,156.3,52.7,130.5,123.5,7.0,2.00
2026-06-04,1513,103.7,61.0,131.8,120.7,11.1,8.22
2026-06-05,1322,142.3,42.9,100.4,89.3,11.1,0.80
2026-06-06,2348,195.8,57.3,250.1,230.3,11.0,9.72
2026-06-07,3050,139.8,129.3,332.6,313.9,18.7,16.52
2026-06-08,1700,171.4,48.6,152.2,139.4,12.8,3.94
2026-06-09,1400,104.7,50.4,144.4,130.2,14.2,8.65
2026-06-10,1648,160.4,57.8,76.3,69.3,7.1,4.20
2026-06-11,1616,129.0,50.2,162.1,154.2,7.9,0.95
2026-06-12,1552,129.7,44.6,170.3,159.7,10.6,1.58
2026-06-13,2199,171.4,69.4,233.4,222.3,11.1,6.56
2026-06-14,2004,86.5,83.8,282.8,260.8,22.0,3.64
2026-06-15,2052,190.4,63.9,127.9,115.6,13.2,6.10
2026-06-16,1505,121.5,23.9,200.4,185.8,14.6,11.51
2026-06-17,1634,121.7,57.1,158.5,149.5,9.0,6.73
2026-06-18,1464,129.8,41.8,139.9,135.6,4.3,1.20
2026-06-19,2376,128.0,84.9,273.8,272.5,1.3,0.52
2026-06-20,1181,57.5,45.0,135.8,135.8,0.0,0.08
2026-06-21,2294,62.1,84.1,325.0,312.3,12.7,6.64
2026-06-22,1331,139.2,41.0,107.7,99.2,8.5,0.60
2026-06-23,1330,144.3,44.6,95.2,85.9,9.3,1.56
2026-06-24,1570,125.7,47.3,165.8,159.7,6.1,1.55
2026-06-25,1880,150.4,51.4,209.7,202.4,7.2,6.55
2026-06-26,1856,103.2,132.1,83.3,73.0,10.3,5.29
2026-06-28,1877,76.3,105.7,169.8,160.7,9.1,6.99
2026-06-29,1272,116.0,25.2,149.0,141.7,7.3,3.62
2026-06-30,1506,90.4,47.8,171.3,169.3,2.0,1.60
2026-07-01,2090,153.7,67.8,218.0,204.2,13.8,11.86
2026-07-03,2312,106.1,81.6,308.5,292.6,15.9,13.25
2026-07-04,1350,77.6,81.6,90.4,80.9,9.5,6.37
2026-07-05,1642,134.5,38.3,195.5,184.2,11.3,7.34
2026-07-06,1388,142.2,46.6,106.9,99.1,7.8,2.60
2026-07-07,1354,88.4,46.0,142.4,137.7,4.7,0.66
2026-07-08,1458,124.2,45.4,145.8,135.1,10.7,2.35
2026-07-09,1255,105.6,39.3,121.9,118.0,3.9,0.66
2026-07-10,1986,93.7,107.6,176.8,169.1,7.7,3.36
2026-07-11,2036,86.7,116.5,177.5,171.4,6.1,5.34
2026-07-12,1937,63.9,71.4,254.6,248.8,5.8,4.20
2026-07-13,1391,110.6,40.9,147.9,143.8,4.1,1.18
